state,Location,Lat,Long,Intersting 
AL,Chickasaw,30.766821,-88.084973,6
AL,Mobile,30.751844,-88.11311,19
AL,Eight Mile,30.795074,-88.182311,13
AL,Brookley Field,30.631199,-88.068871,8
AL,Mobile,30.714522,-88.091796,29
AL,Mobile,30.732178,-88.175753,1
AL,Mobile,30.592803,-88.194645,11
AL,Mobile,30.631076,-88.158843,7
AL,Mobile,30.647431,-88.229245,21
AL,Selma,32.419719,-87.024527,11
AL,Selma,32.415553,-87.013546,15
AL,Alberta,32.144889,-87.342503,29
AL,Arlington,32.066784,-87.559691,30
AL,Camden,32.004732,-87.295049,19
AL,Campbell,31.963512,-88.006072,15
AL,Catherine,32.182,-87.483623,24
AL,Demopolis,32.490792,-87.839669,20
AL,Dixons Mills,32.067209,-87.745356,13
AL,Faunsdale,32.423259,-87.618079,17
AL,Forkland,32.644661,-87.881676,8
AL,Gallion,32.529771,-87.698542,12
AL,Greensboro,32.716721,-87.590494,25
AL,Linden,32.305343,-87.795358,19
AL,Jones,32.608515,-86.889266,18
AL,Maplesville,32.804507,-86.871704,27
AL,Lower Peach Tree,31.850365,-87.568224,1
AL,Burkville,32.300292,-86.609868,8
AL,Magnolia,32.141931,-87.699815,15
AL,Marion,32.646301,-87.331437,27
AL,Plantersville,32.617608,-86.947531,19
AL,Marion Junction,32.426589,-87.270181,16
AL,Boys Ranch,32.095387,-86.92497,14
AL,Morvin,31.967305,-87.972897,28
AL,Newbern,32.551465,-87.561472,4
AL,Orrville,32.294859,-87.221368,11
AL,Pine Apple,31.926522,-87.004667,13
AL,Pine Hill,31.973546,-87.577086,11
AL,Prairie,32.084762,-87.448723,19
AL,Safford,32.300242,-87.369345,29
AL,Sardis,32.284358,-86.991959,22
AL,Sawyerville,32.757796,-87.740201,10
AL,Sprott,32.654376,-87.141599,6
AL,Sweet Water,32.077272,-87.922755,22
AL,Thomaston,32.253776,-87.597438,1
AL,Thomasville,31.906728,-87.759842,20
AL,Benton,32.281924,-86.859867,19
AL,Uniontown,32.446966,-87.493398,5
AL,Stanton,32.709631,-86.886848,4
AL,Randolph,32.888834,-86.90701,10
AL,Lawley,32.864558,-86.956708,25
AL,Opelika,32.627771,-85.358629,5
AL,Auburn,32.602043,-85.489001,29
AL,Camp Hill,32.782749,-85.64738,25
AL,Cusseta,32.803194,-85.215791,3
AL,Dadeville,32.82239,-85.770395,4
AL,Valley,32.811349,-85.174911,23
AL,Five Points,33.042408,-85.324264,15
AL,Hatchechubbee,32.284531,-85.302882,20
AL,Hurtsboro,32.245429,-85.395903,19
AL,Jacksons Gap,32.879698,-85.848662,5
AL,Lafayette,32.925237,-85.442563,19
AL,Lanett,32.861609,-85.21608,30
AL,Notasulga,32.543727,-85.68707,11
AL,Phenix City,32.407816,-85.095082,20
AL,Phenix City,32.470647,-85.018118,15
AL,Pittsview,32.173346,-85.131248,29
AL,Salem,32.621157,-85.183966,15
AL,Seale,32.305339,-85.167733,5
AL,Smiths,32.520072,-85.100027,15
AL,Waverly,32.763167,-85.514372,28
AL,Butler,32.082906,-88.206391,11
AL,Cuba,32.410973,-88.361083,3
AL,Gilbertown,31.866602,-88.326514,20
AL,Jachin,32.244174,-88.233356,17
AL,Lisman,32.217722,-88.323419,17
AL,Needham,32.012165,-88.345798,25
AL,Pennington,32.226245,-88.0931,15
AL,Silas,31.766754,-88.309149,1
AL,Toxey,31.93153,-88.31794,13
AL,Ward,32.334063,-88.297114,8
AL,York,32.472765,-88.268304,19
AK,Anchorage,61.211571,-149.876077,7
AK,Anchorage,61.096163,-150.093943,7
AK,Anchorage,61.189953,-149.893844,9
AK,Anchorage,61.203696,-149.74467,22
AK,Fort Richardson,61.275256,-149.675454,6
AK,Elmendorf Afb,61.251531,-149.812667,13
AK,Anchorage,61.153543,-149.828912,24
AK,Anchorage,61.205959,-149.810085,10
AK,Anchorage,61.119381,-149.897401,29
AK,Anchorage,61.10541,-149.779998,7
AK,Anchorage,61.190136,-149.936111,2
AK,Anchorage,61.154862,-149.886571,4
AK,Port Heiden,56.964333,-158.566367,15
AK,Akiachak,60.891854,-161.39233,5
AK,Akiak,60.890632,-161.199325,29
AK,Akutan,54.143012,-165.785368,18
AK,Alakanuk,62.746967,-164.60228,23
AK,Aleknagik,59.269688,-158.619882,27
AK,Nikolaevsk,59.788818,-151.732933,23
AK,Chuathbaluk,61.691648,-157.758502,22
AK,Anvik,62.830913,-160.130441,14
AK,Atmautluak,60.832389,-161.824053,11
AK,Chefornak,60.153746,-164.210294,20
AK,Chevak,61.583982,-164.776457,16
AK,Chignik,56.301639,-158.415696,6
AK,Chignik Lagoon,56.251277,-158.673528,5
AK,Chugiak,61.409802,-149.453736,12
AK,Clam Gulch,60.201603,-151.422628,14
AK,Clarks Point,58.84921,-158.451241,24
AK,Nelson Lagoon,55.610952,-161.942941,18
AK,Cooper Landing,60.476692,-149.823514,22
AK,Copper Center,61.91581,-144.97793,3
AK,Chenega Bay,60.102558,-147.943316,9
AK,Crooked Creek,61.818072,-158.002483,6
AK,Koliganek,59.059279,-158.973533,21
AK,Eagle River,61.311357,-149.508515,28
AK,Eek,60.215058,-162.032341,5
AK,Egegik,58.206174,-157.342202,3
AK,Ekwok,59.362792,-157.478211,3
AK,Emmonak,62.827404,-164.131298,14
AK,False Pass,54.841028,-163.436845,16
AK,Marshall,61.837087,-161.7394,25
AK,Slana,62.654744,-143.568393,28
AK,Glennallen,62.103895,-145.661684,12
AK,Goodnews Bay,59.085008,-161.587146,9
AK,Grayling,63.372013,-159.404907,2
AK,Saint George Isl,56.60324,-169.547257,7
AK,Holy Cross,62.192584,-159.825092,11
AK,Port Graham,59.665495,-151.462644,14
AK,Hooper Bay,61.537157,-165.891045,3
AK,Kokhanok,59.564836,-155.462556,20
AK,Kalskag,61.541006,-160.3261,30
AK,Kasilof,60.316365,-151.28958,20
AK,Kenai,60.614467,-151.254556,29
AK,King Cove,55.062848,-162.305561,13
AK,Igiugig,58.724264,-156.641603,4
AK,Kipnuk,59.923204,-164.101013,24
AK,Akhiok,57.781967,-152.500169,23
AK,Kotlik,63.029471,-163.554153,6
AK,Kwethluk,60.771814,-161.38849,28
AK,Kwigillingok,59.881022,-162.984938,26
AK,Levelock,59.371395,-154.976815,20
AK,Lower Kalskag,61.51377,-160.359966,17
AK,Mc Grath,62.967153,-155.585153,27
AK,Manokotak,59.009559,-158.989699,24
AK,Mekoryuk,60.365679,-166.283583,4
AK,Moose Pass,60.85852,-149.255911,2
AK,Mountain Village,62.158913,-163.883822,18
AK,Naknek,58.885699,-156.705405,17
AK,Napakiak,60.663758,-161.738144,3
AK,New Stuyahok,59.593533,-157.297205,6
AK,Nikolski,52.988337,-168.788427,8
AK,Ninilchik,60.010833,-151.639604,28
